entry_time,exit_time,action,entry_price,exit_price,pnl,lots
2025-06-12 10:20:15,2025-06-12 10:20:15.610981,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:15,2025-06-12 10:20:15.855304,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:15,2025-06-12 10:20:16.116702,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:16,2025-06-12 10:20:16.356625,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:16,2025-06-12 10:20:16.593253,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:16,2025-06-12 10:20:16.875273,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:16,2025-06-12 10:20:17.115771,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:17,2025-06-12 10:20:17.367711,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:17,2025-06-12 10:20:17.612893,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:17,2025-06-12 10:20:17.873193,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:17,2025-06-12 10:20:18.120454,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:18,2025-06-12 10:20:18.385256,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:18,2025-06-12 10:20:18.634631,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:18,2025-06-12 10:20:18.882959,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:18,2025-06-12 10:20:19.123272,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:19,2025-06-12 10:20:19.368111,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:19,2025-06-12 10:20:19.620121,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:19,2025-06-12 10:20:19.866585,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:19,2025-06-12 10:20:20.154050,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:20,2025-06-12 10:20:20.386879,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:20,2025-06-12 10:20:20.657029,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:20,2025-06-12 10:20:20.905033,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:21,2025-06-12 10:20:21.179142,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:21,2025-06-12 10:20:21.435803,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:21,2025-06-12 10:20:21.757262,SELL,56536.2,56525.0,236.0,1.0
2025-06-12 10:20:21,2025-06-12 10:20:22.003229,SELL,56536.2,56525.0,236.0,1.0
